Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
53,11,2,78,3,Some Random Commen with Id 53
54,11,2,5,4,Some Random Commen with Id 54
55,11,2,122,1,Some Random Commen with Id 55
56,11,2,14,6,Some Random Commen with Id 56
57,11,2,8,4,Some Random Commen with Id 57
58,12,8,0,7,Some Random Commen with Id 58
59,12,8,168,8,Some Random Commen with Id 59
60,13,5,168,2,Some Random Commen with Id 60
61,13,5,87,5,Some Random Commen with Id 61
62,13,5,166,8,Some Random Commen with Id 62
63,14,7,192,9,Some Random Commen with Id 63
64,15,1,6,4,Some Random Commen with Id 64
65,15,1,125,7,Some Random Commen with Id 65
66,15,1,128,4,Some Random Commen with Id 66
67,15,1,23,6,Some Random Commen with Id 67
68,15,1,22,3,Some Random Commen with Id 68
69,15,1,28,3,Some Random Commen with Id 69
70,15,1,38,4,Some Random Commen with Id 70
71,15,1,195,9,Some Random Commen with Id 71
72,16,2,175,1,Some Random Commen with Id 72
73,16,2,30,2,Some Random Commen with Id 73
74,16,2,175,2,Some Random Commen with Id 74
75,16,2,79,7,Some Random Commen with Id 75
76,18,8,77,6,Some Random Commen with Id 76
77,18,8,8,4,Some Random Commen with Id 77
78,18,8,96,0,Some Random Commen with Id 78
79,19,6,161,6,Some Random Commen with Id 79
80,19,6,58,5,Some Random Commen with Id 80
81,19,6,46,7,Some Random Commen with Id 81
82,19,6,157,4,Some Random Commen with Id 82
83,19,6,140,0,Some Random Commen with Id 83
84,19,6,69,3,Some Random Commen with Id 84
85,19,6,122,2,Some Random Commen with Id 85
86,20,5,109,1,Some Random Commen with Id 86
87,20,5,142,6,Some Random Commen with Id 87
88,20,5,149,6,Some Random Commen with Id 88
89,20,5,191,2,Some Random Commen with Id 89
90,20,5,14,4,Some Random Commen with Id 90
91,20,5,137,3,Some Random Commen with Id 91
92,21,0,152,9,Some Random Commen with Id 92
93,21,0,172,2,Some Random Commen with Id 93
94,21,0,101,9,Some Random Commen with Id 94
95,21,0,176,3,Some Random Commen with Id 95
96,22,4,126,3,Some Random Commen with Id 96
97,22,4,115,3,Some Random Commen with Id 97
98,22,4,86,9,Some Random Commen with Id 98
99,22,4,82,0,Some Random Commen with Id 99
100,22,4,101,3,Some Random Commen with Id 100
101,22,4,135,0,Some Random Commen with Id 101
102,22,4,173,0,Some Random Commen with Id 102
103,22,4,42,0,Some Random Commen with Id 103
104,22,4,3,1,Some Random Commen with Id 104
105,23,3,129,4,Some Random Commen with Id 105
106,24,5,156,8,Some Random Commen with Id 106
107,24,5,44,9,Some Random Commen with Id 107
108,24,5,64,2,Some Random Commen with Id 108
109,24,5,28,5,Some Random Commen with Id 109
110,25,5,102,0,Some Random Commen with Id 110
111,25,5,56,8,Some Random Commen with Id 111
112,25,5,136,3,Some Random Commen with Id 112
113,25,5,4,2,Some Random Commen with Id 113
114,25,5,109,9,Some Random Commen with Id 114
115,25,5,172,6,Some Random Commen with Id 115
116,27,3,120,0,Some Random Commen with Id 116
117,28,8,13,7,Some Random Commen with Id 117
118,28,8,107,4,Some Random Commen with Id 118
119,28,8,107,5,Some Random Commen with Id 119
120,29,4,164,1,Some Random Commen with Id 120
121,29,4,8,8,Some Random Commen with Id 121
122,29,4,122,2,Some Random Commen with Id 122
123,29,4,188,5,Some Random Commen with Id 123
124,29,4,140,3,Some Random Commen with Id 124
125,29,4,102,2,Some Random Commen with Id 125
126,29,4,22,1,Some Random Commen with Id 126
127,30,3,66,0,Some Random Commen with Id 127
128,30,3,175,9,Some Random Commen with Id 128
129,30,3,101,1,Some Random Commen with Id 129
130,30,3,195,0,Some Random Commen with Id 130
131,30,3,37,3,Some Random Commen with Id 131
132,30,3,152,2,Some Random Commen with Id 132
133,30,3,126,1,Some Random Commen with Id 133
134,31,1,108,6,Some Random Commen with Id 134
135,32,7,130,4,Some Random Commen with Id 135
136,32,7,55,0,Some Random Commen with Id 136
137,32,7,17,1,Some Random Commen with Id 137
138,32,7,46,9,Some Random Commen with Id 138
139,33,4,136,1,Some Random Commen with Id 139
140,33,4,128,1,Some Random Commen with Id 140
141,33,4,190,1,Some Random Commen with Id 141
142,33,4,17,0,Some Random Commen with Id 142
143,33,4,101,0,Some Random Commen with Id 143
144,33,4,0,7,Some Random Commen with Id 144
145,33,4,61,2,Some Random Commen with Id 145
146,34,7,100,7,Some Random Commen with Id 146
147,34,7,192,8,Some Random Commen with Id 147
148,34,7,56,0,Some Random Commen with Id 148
149,35,9,139,0,Some Random Commen with Id 149
150,35,9,195,2,Some Random Commen with Id 150
151,35,9,32,5,Some Random Commen with Id 151
152,35,9,148,7,Some Random Commen with Id 152
153,37,8,41,5,Some Random Commen with Id 153
154,37,8,40,3,Some Random Commen with Id 154
155,38,6,162,9,Some Random Commen with Id 155
156,38,6,158,0,Some Random Commen with Id 156
157,38,6,87,6,Some Random Commen with Id 157
158,38,6,119,9,Some Random Commen with Id 158
159,38,6,20,6,Some Random Commen with Id 159
160,38,6,182,6,Some Random Commen with Id 160
161,38,6,1,0,Some Random Commen with Id 161
162,38,6,166,6,Some Random Commen with Id 162
163,38,6,22,4,Some Random Commen with Id 163
164,39,0,66,7,Some Random Commen with Id 164
165,39,0,56,4,Some Random Commen with Id 165
166,39,0,106,5,Some Random Commen with Id 166
